[2022-02-22 23:11:29] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 175279
[2022-02-22 23:11:29] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 175296
[2022-02-22 23:11:29] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 175313
[2022-02-22 23:11:29] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 175334
[2022-02-22 23:15:48] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 93621
[2022-02-22 23:15:48] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 244335
[2022-02-22 23:15:48] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 244399
[2022-02-22 23:15:48] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 244417
[2022-02-22 23:15:48] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 244439
[2022-02-22 23:25:13] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 299623
